status,enter row,exit row,enter price,exit price,percentage
+,30,144,578.21,619.87,7.20499
+,44,146,591.16,624.5,5.63976
+,85,144,577.02,619.87,7.42609
+,90,144,579.84,619.87,6.90363
+,117,144,603,619.87,2.79768
+,121,410,608.61,647.82,6.44255
-,144,226,619.87,596.51,-3.76853
-,145,165,622.52,597.4,-4.03521
+,236,410,604.03,647.82,7.24964
+,252,410,607.2,647.82,6.68972
+,280,411,607.21,650,7.04699
+,283,412,609,651.2,6.92939
+,284,422,609.9,652.43,6.97327
+,285,425,610,653,7.04918
+,318,427,612.59,656.78,7.21363
+,325,428,616.73,659.5,6.93496
+,342,432,633,663.7,4.84992
+,343,437,634.12,684.71,7.97799
+,344,437,637.8,684.71,7.35497
+,361,437,637.99,684.71,7.323
+,404,437,633.86,684.71,8.02228
+,408,437,634.45,684.71,7.92182
+,409,437,638.98,684.71,7.15672
+,410,437,647.82,684.71,5.69448
+,428,452,659.5,706,7.0508
+,432,453,663.7,711.57,7.2126
+,433,453,666.03,711.57,6.83753
+,434,469,669.12,715.21,6.88815
+,435,470,675.42,720.57,6.68473
+,437,478,684.71,727.48,6.24644
+,449,561,690.51,736.07,6.59802
+,451,650,698.79,758.35,8.5233
+,452,650,706,758.35,7.41501
+,453,651,711.57,762.5,7.15741
+,468,650,709.95,758.35,6.81738
+,469,652,715.21,763,6.68195
+,470,654,720.57,768.6,6.66556
-,478,483,727.48,691.6,-4.93209
+,512,650,703.52,758.35,7.79367
+,515,650,709.29,758.35,6.91678
+,516,651,714.45,762.5,6.72545
+,549,650,703.4,758.35,7.81206
+,552,651,709.79,762.5,7.42614
+,557,651,719,762.5,6.05007
+,559,747,729.55,779.01,6.77952
+,560,763,732.96,788.2,7.53656
+,561,763,736.07,788.2,7.08221
+,568,765,738.55,794.21,7.53639
+,569,765,740.12,794.21,7.30827
+,574,765,741.22,794.21,7.14902
+,594,765,741.4,794.21,7.12301
+,647,765,741.99,794.21,7.03783
+,650,766,758.35,803.51,5.95503
+,651,769,762.5,821.26,7.70623
+,654,769,768.6,821.26,6.85142
+,713,770,772.1,827.14,7.12861
+,731,770,772.97,827.14,7.00803
+,732,770,773.04,827.14,6.99834
+,740,771,777.19,853.3,9.79297
+,763,771,788.2,853.3,8.25933
+,765,771,794.21,853.3,7.4401
+,766,771,803.51,853.3,6.19656
+,767,775,812,866.36,6.69458
+,770,778,827.14,885.24,7.0242
+,771,781,853.3,894.5,4.82831
+,775,805,866.36,918.16,5.97904
+,776,810,878.99,934.44,6.30838
+,781,833,894.5,958,7.09894
+,797,833,884.52,958,8.30733
+,802,833,907.76,958,5.5345
+,805,837,918.16,985.98,7.38651
+,807,837,928.17,985.98,6.22838
+,808,847,932.9,996.99,6.86998
+,833,849,958,1024.78,6.97077
+,834,850,964.99,1032.03,6.94722
+,836,851,974,1068.8,9.73306
+,837,851,985.98,1068.8,8.39976
+,838,851,988.59,1068.8,8.11358
+,848,851,1004.63,1068.8,6.38743
+,849,853,1024.78,1087.74,6.14376
-,850,855,1032.03,936,-9.30496
-,851,855,1068.8,936,-12.4251
-,889,891,883,815,-7.70102
+,925,928,846.35,883.61,4.40243
+,926,950,867.02,910.01,4.95836
+,928,1014,883.61,956.35,8.23214
+,949,1014,905.51,956.35,5.61452
+,950,1020,910.01,974.33,7.06805
+,982,1020,907.14,974.33,7.40679
+,984,1020,908,974.33,7.30507
+,1010,1023,919.3,984,7.03796
+,1011,1025,940,991.9,5.52128
+,1014,1051,956.35,1013.96,6.02395
+,1020,1056,974.33,1037.91,6.52551
+,1023,1057,984,1045.3,6.22967
+,1025,1136,991.9,1065.81,7.45136
+,1026,1136,995.1,1065.81,7.10582
+,1027,1136,995.26,1065.81,7.0886
-,1030,1066,999.07,948,-5.11175
-,1036,1066,1009.71,948,-6.11166
-,1051,1065,1013.96,965.99,-4.73096
-,1052,1065,1025,965.99,-5.75707
-,1053,1065,1035.3,965.99,-6.69468
-,1057,1065,1045.3,965.99,-7.5873
+,1094,1136,995,1065.81,7.11658
+,1105,1137,1008.03,1090.01,8.13269
+,1108,1137,1025,1090.01,6.34244
+,1132,1149,1039.73,1126.6,8.35505
+,1133,1149,1042.07,1126.6,8.11174
+,1134,1149,1056.88,1126.6,6.59678
+,1136,1152,1065.81,1145.46,7.47319
+,1137,1152,1090.01,1145.46,5.08711
+,1148,1153,1109.9,1178.08,6.1429
+,1149,1187,1126.6,1196.64,6.21694
+,1152,1190,1145.46,1216.59,6.20973
+,1153,1192,1178.08,1256.62,6.66678
+,1170,1192,1153,1256.62,8.98699
+,1171,1192,1155.15,1256.62,8.78414
+,1172,1192,1162.93,1256.62,8.05637
+,1175,1192,1176.12,1256.62,6.84454
-,1185,1229,1194.9,1141.61,-4.45979
-,1190,1229,1216.59,1141.61,-6.16313
-,1191,1229,1220,1141.61,-6.42541
-,1192,1229,1256.62,1141.61,-9.15233
-,1239,1284,1249,1101.14,-11.8383
-,1252,1288,1210,1031.55,-14.7479
-,1302,1326,1077.13,966,-10.3172
-,1303,1326,1101.46,966,-12.2982
-,1306,1323,1117.1,997.89,-10.6714
-,1307,1323,1128.1,997.89,-11.5424
+,1341,1369,1041,1089.52,4.6609
+,1343,1383,1044.41,1127.95,7.99877
+,1346,1385,1071,1147.42,7.13539
+,1365,1383,1066.01,1127.95,5.81045
+,1369,1402,1089.52,1184,8.67171
+,1379,1402,1108.89,1184,6.77344
+,1380,1408,1116.55,1188.09,6.40724
+,1383,1431,1127.95,1215.09,7.72552
+,1385,1431,1147.42,1215.09,5.89758
+,1399,1483,1146.4,1242.99,8.42551
+,1400,1483,1150.34,1242.99,8.05414
+,1402,1483,1184,1242.99,4.98226
+,1408,1519,1188.09,1275.6,7.3656
+,1419,1519,1195.92,1275.6,6.66265
-,1430,1443,1201.35,1169.97,-2.61206
-,1431,1443,1215.09,1169.97,-3.71331
+,1465,1522,1202,1280.24,6.50915
+,1469,1525,1216.99,1299.21,6.75601
+,1483,1546,1242.99,1310.99,5.47068
+,1508,1549,1246.97,1368,9.70593
+,1510,1549,1248.99,1368,9.5285
+,1519,1549,1275.6,1368,7.24365
+,1522,1549,1280.24,1368,6.85496
+,1523,1552,1283,1382.07,7.72175
+,1524,1552,1285.38,1382.07,7.52229
+,1525,1552,1299.21,1382.07,6.37772
+,1545,1554,1305.01,1403.09,7.51565
+,1549,1565,1368,1449.4,5.95029
+,1550,1566,1370.84,1482.04,8.11181
+,1554,1567,1403.09,1494.85,6.53985
+,1565,1588,1449.4,1540.97,6.31779
+,1566,1589,1482.04,1595.17,7.6334
+,1567,1589,1494.85,1595.17,6.71104
+,1587,1589,1508.23,1595.17,5.76437
+,1588,1592,1540.97,1625.85,5.50822
+,1589,1594,1595.17,1672.94,4.87534
+,1592,1606,1625.85,1728.99,6.34376
+,1594,1608,1672.94,1768.39,5.70552
+,1595,1651,1690.9,1828.19,8.11934
+,1606,1651,1728.99,1828.19,5.73745
+,1607,1655,1750.6,1860.99,6.30584
+,1609,1659,1795.09,1922.03,7.07151
+,1642,1653,1725.01,1840.95,6.72112
+,1643,1656,1753.27,1879.49,7.19912
+,1651,1659,1828.19,1922.03,5.13295
+,1653,1664,1840.95,1992.09,8.20989
+,1655,1664,1860.99,1992.09,7.04464
+,1656,1665,1879.49,2006.76,6.77152
+,1659,1672,1922.03,2087.99,8.63462
+,1660,1672,1963.33,2087.99,6.34942
+,1664,1673,1992.09,2139.19,7.3842
+,1665,1673,2006.76,2139.19,6.59919
+,1667,1675,2026.99,2197.6,8.41691
+,1672,1683,2087.99,2251.09,7.81134
+,1673,1683,2139.19,2251.09,5.23095
+,1675,1686,2197.6,2379.48,8.2763
+,1683,1688,2251.09,2430,7.94771
+,1684,1688,2270.99,2430,7.00179
+,1685,1690,2307.02,2487.99,7.84432
+,1686,1690,2379.48,2487.99,4.56024
+,1688,1691,2430,2572.99,5.88436
+,1690,1692,2487.99,2700.04,8.52294
+,1691,1692,2572.99,2700.04,4.93783
-,1692,1700,2700.04,2144.99,-20.5571
+,1718,1741,2222.3,2358.54,6.13059
+,1720,1745,2274.24,2420.49,6.43072
+,1732,1745,2292.71,2420.49,5.57332
+,1733,1747,2345.99,2476.64,5.56908
+,1743,1760,2406.55,2592.99,7.74719
+,1747,1761,2476.64,2672.31,7.90062
+,1756,1762,2530.39,2746.32,8.53347
+,1757,1762,2543.99,2746.32,7.95325
+,1760,1764,2592.99,2792.79,7.70539
+,1761,1764,2672.31,2792.79,4.50846
+,1762,1797,2746.32,2870.99,4.53953
-,1764,1816,2792.79,2416.35,-13.479
