status,enter row,exit row,enter price,exit price,percentage
+,8,44,574.98,591.16,2.81401
+,66,117,580.2,603,3.92968
+,121,146,608.61,624.5,2.61087
-,175,226,611,596.51,-2.37152
+,235,342,601.39,633,5.25616
+,344,427,637.8,656.78,2.97585
+,432,437,663.7,684.71,3.16559
+,449,452,690.51,706,2.24327
+,467,470,700.71,720.57,2.83427
-,478,483,727.48,691.6,-4.93209
+,497,558,703.77,725.02,3.01945
+,560,650,732.96,758.35,3.46404
+,654,765,768.6,794.21,3.33203
+,767,771,812,853.3,5.08621
+,775,778,866.36,885.24,2.17923
-,781,789,894.5,830,-7.21073
+,793,802,875.38,907.76,3.69897
+,805,833,918.16,958,4.33911
+,836,847,974,996.99,2.36037
+,849,851,1024.78,1068.8,4.29556
-,871,892,891,759.04,-14.8103
+,898,906,800.01,819.2,2.39872
+,925,926,846.35,867.02,2.44225
+,928,950,883.61,910.01,2.98774
+,981,1011,895.56,940,4.96226
+,1014,1023,956.35,984,2.8912
+,1025,1052,991.9,1025,3.33703
-,1057,1065,1045.3,965.99,-7.5873
+,1073,1105,991,1008.03,1.71847
+,1108,1133,1025,1042.07,1.66537
+,1136,1144,1065.81,1093,2.55111
+,1148,1152,1109.9,1145.46,3.20389
+,1170,1176,1153,1184.5,2.732
+,1185,1191,1194.9,1220,2.10059
+,1236,1239,1193.51,1249,4.64931
+,1252,1255,1210,1219,0.743802
-,1264,1277,1236.8,1167,-5.6436
+,1294,1302,1057.43,1077.13,1.86301
-,1306,1321,1117.1,1026,-8.15504
+,1334,1340,991.1,1013.01,2.21068
+,1343,1367,1044.41,1078.01,3.21713
+,1369,1383,1089.52,1127.95,3.52724
+,1385,1402,1147.42,1184,3.18802
+,1408,1483,1188.09,1242.99,4.62086
+,1501,1519,1239.49,1275.6,2.91329
+,1522,1549,1280.24,1368,6.85496
+,1554,1565,1403.09,1449.4,3.30057
+,1567,1588,1494.85,1540.97,3.08526
+,1592,1594,1625.85,1672.94,2.89633
+,1606,1608,1728.99,1768.39,2.27879
+,1623,1643,1731.36,1753.27,1.26548
+,1651,1655,1828.19,1860.99,1.79412
+,1659,1660,1922.03,1963.33,2.14877
+,1664,1672,1992.09,2087.99,4.81404
+,1675,1683,2197.6,2251.09,2.43402
+,1685,1686,2307.02,2379.48,3.14085
