status,enter row,exit row,enter price,exit price,percentage
+,30,44,578.21,591.16,2.23967
+,44,117,591.16,603,2.00284
+,85,117,577.02,603,4.50244
+,90,117,579.84,603,3.99421
+,117,121,603,608.61,0.930348
+,121,144,608.61,619.87,1.85012
+,144,146,619.87,624.5,0.746931
+,145,343,622.52,634.12,1.86339
+,236,320,604.03,614.05,1.65886
+,252,341,607.2,619,1.94335
+,280,341,607.21,619,1.94167
+,283,342,609,633,3.94089
+,284,342,609.9,633,3.78751
+,285,342,610,633,3.77049
+,318,342,612.59,633,3.33176
+,325,342,616.73,633,2.63811
+,342,343,633,634.12,0.176935
+,343,410,634.12,647.82,2.16047
+,344,411,637.8,650,1.91283
+,361,412,637.99,651.2,2.07057
+,404,410,633.86,647.82,2.20238
+,408,410,634.45,647.82,2.10734
+,409,411,638.98,650,1.72462
+,410,422,647.82,652.43,0.711617
+,428,435,659.5,675.42,2.41395
+,432,437,663.7,684.71,3.16559
+,433,437,666.03,684.71,2.80468
+,434,437,669.12,684.71,2.32993
+,435,437,675.42,684.71,1.37544
+,437,450,684.71,692,1.06468
+,449,452,690.51,706,2.24327
+,451,453,698.79,711.57,1.82888
+,452,469,706,715.21,1.30453
+,453,478,711.57,727.48,2.2359
+,468,470,709.95,720.57,1.49588
+,469,478,715.21,727.48,1.71558
+,470,559,720.57,729.55,1.24624
+,478,569,727.48,740.12,1.7375
+,512,557,703.52,719,2.20036
+,515,558,709.29,725.02,2.21771
+,516,558,714.45,725.02,1.47946
+,549,557,703.4,719,2.2178
+,552,558,709.79,725.02,2.14571
+,557,558,719,725.02,0.837274
+,559,649,729.55,743.56,1.92036
+,560,650,732.96,758.35,3.46404
+,561,650,736.07,758.35,3.02689
+,568,650,738.55,758.35,2.68093
+,569,650,740.12,758.35,2.46311
+,574,650,741.22,758.35,2.31105
+,594,650,741.4,758.35,2.28622
+,647,650,741.99,758.35,2.20488
+,650,651,758.35,762.5,0.547241
+,651,740,762.5,777.19,1.92656
+,654,755,768.6,781.5,1.67838
+,713,763,772.1,788.2,2.08522
+,731,763,772.97,788.2,1.97032
+,732,764,773.04,788.5,1.9999
+,740,765,777.19,794.21,2.18994
+,763,766,788.2,803.51,1.9424
+,765,767,794.21,812,2.23996
+,766,767,803.51,812,1.05661
+,767,769,812,821.26,1.14039
+,770,771,827.14,853.3,3.16271
+,771,775,853.3,866.36,1.53053
+,775,776,866.36,878.99,1.45782
+,776,781,878.99,894.5,1.76453
+,781,805,894.5,918.16,2.64505
+,797,802,884.52,907.76,2.62741
+,802,805,907.76,918.16,1.14568
+,805,810,918.16,934.44,1.77311
+,807,811,928.17,941.21,1.40492
+,808,833,932.9,958,2.69053
+,833,834,958,964.99,0.729645
+,834,837,964.99,985.98,2.17515
+,836,838,974,988.59,1.49795
+,837,847,985.98,996.99,1.11666
+,838,849,988.59,1024.78,3.66077
+,848,849,1004.63,1024.78,2.00571
+,849,850,1024.78,1032.03,0.707469
+,850,851,1032.03,1068.8,3.56288
+,851,852,1068.8,1070.62,0.170284
-,889,892,883,759.04,-14.0385
+,925,926,846.35,867.02,2.44225
+,926,927,867.02,867.32,0.0346013
+,928,949,883.61,905.51,2.47847
+,949,950,905.51,910.01,0.496958
+,950,1011,910.01,940,3.29557
+,982,1011,907.14,940,3.62237
+,984,1011,908,940,3.52423
+,1010,1011,919.3,940,2.25171
+,1011,1014,940,956.35,1.73936
+,1014,1020,956.35,974.33,1.88006
+,1020,1025,974.33,991.9,1.80329
+,1023,1026,984,995.1,1.12805
+,1025,1051,991.9,1013.96,2.22401
+,1026,1051,995.1,1013.96,1.89529
+,1027,1052,995.26,1025,2.98816
+,1030,1052,999.07,1025,2.59541
+,1036,1052,1009.71,1025,1.5143
+,1051,1053,1013.96,1035.3,2.10462
+,1052,1056,1025,1037.91,1.25951
+,1053,1134,1035.3,1056.88,2.08442
-,1057,1066,1045.3,948,-9.30833
+,1094,1108,995,1025,3.01508
+,1105,1108,1008.03,1025,1.68348
+,1108,1113,1025,1030.4,0.526829
+,1132,1136,1039.73,1065.81,2.50834
+,1133,1136,1042.07,1065.81,2.27816
+,1134,1136,1056.88,1065.81,0.84494
+,1136,1137,1065.81,1090.01,2.27057
+,1137,1144,1090.01,1093,0.274309
+,1148,1149,1109.9,1126.6,1.50464
+,1149,1152,1126.6,1145.46,1.67406
+,1152,1153,1145.46,1178.08,2.84776
+,1153,1176,1178.08,1184.5,0.544955
+,1170,1175,1153,1176.12,2.0052
+,1171,1176,1155.15,1184.5,2.5408
+,1172,1185,1162.93,1194.9,2.74909
+,1175,1187,1176.12,1196.64,1.74472
+,1185,1190,1194.9,1216.59,1.81521
+,1190,1192,1216.59,1256.62,3.29034
+,1191,1192,1220,1256.62,3.00164
+,1192,1197,1256.62,1258.23,0.128121
