status,enter row,exit row,enter price,exit price,percentage
+,8,117,574.98,603,4.87321
+,9,144,576.22,619.87,7.57523
+,30,142,578.21,609.64,5.43574
+,43,144,580.8,619.87,6.72693
+,44,144,591.16,619.87,4.85655
+,66,144,580.2,619.87,6.8373
+,82,142,575.13,609.64,6.00038
+,85,144,577.02,619.87,7.42609
+,90,144,579.84,619.87,6.90363
+,111,144,576.97,619.87,7.4354
+,117,144,603,619.87,2.79768
+,121,410,608.61,647.82,6.44255
+,144,410,619.87,647.82,4.50901
-,145,232,622.52,592.93,-4.75326
+,175,410,611,647.82,6.02619
+,235,344,601.39,637.8,6.05431
+,236,375,604.03,638.27,5.66859
+,252,410,607.2,647.82,6.68972
+,280,410,607.21,647.82,6.68797
+,283,410,609,647.82,6.37438
+,284,410,609.9,647.82,6.21741
+,285,410,610,647.82,6.2
+,318,411,612.59,650,6.10686
+,325,426,616.73,653.54,5.96858
+,342,427,633,656.78,3.75671
+,343,435,634.12,675.42,6.51296
+,344,435,637.8,675.42,5.8984
+,361,437,637.99,684.71,7.323
+,404,435,633.86,675.42,6.55665
+,408,435,634.45,675.42,6.45756
+,409,435,638.98,675.42,5.70284
+,410,437,647.82,684.71,5.69448
+,428,451,659.5,698.79,5.95754
+,432,452,663.7,706,6.37336
+,433,452,666.03,706,6.00123
+,434,453,669.12,711.57,6.34415
+,435,453,675.42,711.57,5.35223
+,437,470,684.71,720.57,5.23725
+,449,478,690.51,727.48,5.35401
+,451,568,698.79,738.55,5.68984
+,452,574,706,741.22,4.98867
+,453,650,711.57,758.35,6.5742
+,467,574,700.71,741.22,5.78128
+,468,650,709.95,758.35,6.81738
+,469,650,715.21,758.35,6.03179
+,470,650,720.57,758.35,5.24307
-,478,483,727.48,691.6,-4.93209
+,497,649,703.77,743.56,5.65384
+,512,596,703.52,742.38,5.52365
+,515,650,709.29,758.35,6.91678
+,516,650,714.45,758.35,6.14459
-,527,539,712.4,685.94,-3.71421
+,549,650,703.4,758.35,7.81206
+,552,650,709.79,758.35,6.84146
+,557,650,719,758.35,5.47288
+,559,713,729.55,772.1,5.83236
+,560,740,732.96,777.19,6.03444
+,561,741,736.07,778.11,5.71141
+,568,748,738.55,779.9,5.59881
+,569,763,740.12,788.2,6.49624
