status,enter row,exit row,enter price,exit price,percentage
+,8,121,574.98,608.61,5.8489
+,9,144,576.22,619.87,7.57523
+,30,144,578.21,619.87,7.20499
+,43,145,580.8,622.52,7.1832
+,44,145,591.16,622.52,5.30482
+,66,144,580.2,619.87,6.8373
+,82,144,575.13,619.87,7.77911
+,85,144,577.02,619.87,7.42609
+,90,144,579.84,619.87,6.90363
+,111,144,576.97,619.87,7.4354
+,117,144,603,619.87,2.79768
+,121,410,608.61,647.82,6.44255
+,144,427,619.87,656.78,5.95447
-,145,232,622.52,592.93,-4.75326
+,175,425,611,653,6.87398
+,235,410,601.39,647.82,7.72045
+,236,410,604.03,647.82,7.24964
+,252,410,607.2,647.82,6.68972
+,280,410,607.21,647.82,6.68797
+,283,412,609,651.2,6.92939
+,284,422,609.9,652.43,6.97327
+,285,425,610,653,7.04918
+,318,427,612.59,656.78,7.21363
+,325,428,616.73,659.5,6.93496
+,342,432,633,663.7,4.84992
+,343,437,634.12,684.71,7.97799
+,344,437,637.8,684.71,7.35497
+,361,437,637.99,684.71,7.323
+,404,437,633.86,684.71,8.02228
+,408,437,634.45,684.71,7.92182
+,409,437,638.98,684.71,7.15672
+,410,437,647.82,684.71,5.69448
+,428,452,659.5,706,7.0508
+,432,453,663.7,711.57,7.2126
+,433,453,666.03,711.57,6.83753
+,434,469,669.12,715.21,6.88815
+,435,470,675.42,720.57,6.68473
+,437,478,684.71,727.48,6.24644
+,449,560,690.51,732.96,6.14763
+,451,650,698.79,758.35,8.5233
+,452,650,706,758.35,7.41501
+,453,651,711.57,762.5,7.15741
+,467,650,700.71,758.35,8.22594
+,468,650,709.95,758.35,6.81738
+,469,652,715.21,763,6.68195
+,470,654,720.57,768.6,6.66556
-,478,483,727.48,691.6,-4.93209
+,497,650,703.77,758.35,7.75537
+,512,650,703.52,758.35,7.79367
+,515,650,709.29,758.35,6.91678
+,516,651,714.45,762.5,6.72545
-,527,539,712.4,685.94,-3.71421
+,549,650,703.4,758.35,7.81206
+,552,651,709.79,762.5,7.42614
+,557,651,719,762.5,6.05007
+,559,747,729.55,779.01,6.77952
+,560,763,732.96,788.2,7.53656
+,561,763,736.07,788.2,7.08221
+,568,763,738.55,788.2,6.72263
+,569,765,740.12,794.21,7.30827
+,574,765,741.22,794.21,7.14902
+,587,763,735,788.2,7.2381
+,588,763,737.1,788.2,6.93257
+,594,765,741.4,794.21,7.12301
+,640,763,735.25,788.2,7.20163
+,647,765,741.99,794.21,7.03783
+,650,766,758.35,803.51,5.95503
+,651,769,762.5,821.26,7.70623
+,654,769,768.6,821.26,6.85142
+,665,769,765.27,821.26,7.31637
+,712,769,769.5,821.26,6.72645
+,713,770,772.1,827.14,7.12861
+,731,770,772.97,827.14,7.00803
+,732,770,773.04,827.14,6.99834
+,740,771,777.19,853.3,9.79297
+,763,771,788.2,853.3,8.25933
+,765,771,794.21,853.3,7.4401
+,766,771,803.51,853.3,6.19656
+,767,775,812,866.36,6.69458
+,770,778,827.14,885.24,7.0242
+,771,781,853.3,894.5,4.82831
+,775,805,866.36,918.16,5.97904
+,776,810,878.99,934.44,6.30838
-,781,789,894.5,830,-7.21073
+,793,808,875.38,932.9,6.57086
+,797,833,884.52,958,8.30733
+,802,833,907.76,958,5.5345
+,805,837,918.16,985.98,7.38651
+,807,837,928.17,985.98,6.22838
+,808,847,932.9,996.99,6.86998
+,832,847,936.25,996.99,6.48758
+,833,849,958,1024.78,6.97077
+,834,850,964.99,1032.03,6.94722
+,836,851,974,1068.8,9.73306
+,837,851,985.98,1068.8,8.39976
+,838,851,988.59,1068.8,8.11358
+,847,851,996.99,1068.8,7.20268
+,848,851,1004.63,1068.8,6.38743
+,849,853,1024.78,1087.74,6.14376
-,850,855,1032.03,936,-9.30496
-,851,855,1068.8,936,-12.4251
-,871,892,891,759.04,-14.8103
-,882,891,872.59,815,-6.59989
-,889,891,883,815,-7.70102
+,898,926,800.01,867.02,8.37615
+,899,926,811.81,867.02,6.80085
+,925,928,846.35,883.61,4.40243
+,926,950,867.02,910.01,4.95836
+,928,1014,883.61,956.35,8.23214
+,940,1014,883.24,956.35,8.27748
+,941,1014,886.9,956.35,7.83065
+,949,1014,905.51,956.35,5.61452
+,950,1020,910.01,974.33,7.06805
+,981,1016,895.56,958.11,6.98446
+,982,1018,907.14,962,6.04758
+,984,1020,908,974.33,7.30507
+,1010,1023,919.3,984,7.03796
+,1011,1025,940,991.9,5.52128
+,1014,1051,956.35,1013.96,6.02395
+,1020,1056,974.33,1037.91,6.52551
+,1023,1057,984,1045.3,6.22967
+,1025,1136,991.9,1065.81,7.45136
+,1026,1136,995.1,1065.81,7.10582
-,1027,1067,995.26,940.5,-5.50208
-,1030,1066,999.07,948,-5.11175
-,1036,1066,1009.71,948,-6.11166
-,1046,1065,1001,965.99,-3.4975
-,1051,1065,1013.96,965.99,-4.73096
-,1052,1065,1025,965.99,-5.75707
-,1053,1065,1035.3,965.99,-6.69468
-,1057,1065,1045.3,965.99,-7.5873
+,1073,1130,991,1038.58,4.80121
+,1094,1136,995,1065.81,7.11658
+,1105,1137,1008.03,1090.01,8.13269
+,1108,1137,1025,1090.01,6.34244
+,1132,1149,1039.73,1126.6,8.35505
+,1133,1149,1042.07,1126.6,8.11174
+,1134,1149,1056.88,1126.6,6.59678
+,1136,1152,1065.81,1145.46,7.47319
+,1137,1152,1090.01,1145.46,5.08711
+,1144,1153,1093,1178.08,7.78408
+,1148,1153,1109.9,1178.08,6.1429
