status,enter row,exit row,enter price,exit price,percentage
+,30,44,578.21,591.16,2.23967
+,85,117,577.02,603,4.50244
+,121,144,608.61,619.87,1.85012
+,236,320,604.03,614.05,1.65886
+,325,342,616.73,633,2.63811
+,344,411,637.8,650,1.91283
+,428,435,659.5,675.42,2.41395
+,437,450,684.71,692,1.06468
+,452,469,706,715.21,1.30453
+,478,569,727.48,740.12,1.7375
+,574,650,741.22,758.35,2.31105
+,654,755,768.6,781.5,1.67838
+,763,766,788.2,803.51,1.9424
+,770,771,827.14,853.3,3.16271
+,775,776,866.36,878.99,1.45782
+,781,805,894.5,918.16,2.64505
+,807,811,928.17,941.21,1.40492
+,833,834,958,964.99,0.729645
+,836,838,974,988.59,1.49795
+,848,849,1004.63,1024.78,2.00571
+,851,852,1068.8,1070.62,0.170284
-,889,892,883,759.04,-14.0385
+,925,926,846.35,867.02,2.44225
+,928,949,883.61,905.51,2.47847
+,982,1011,907.14,940,3.62237
+,1014,1020,956.35,974.33,1.88006
+,1023,1026,984,995.1,1.12805
+,1030,1052,999.07,1025,2.59541
+,1057,1136,1045.3,1065.81,1.96212
+,1148,1149,1109.9,1126.6,1.50464
+,1152,1153,1145.46,1178.08,2.84776
+,1170,1175,1153,1176.12,2.0052
+,1185,1190,1194.9,1216.59,1.81521
+,1192,1197,1256.62,1258.23,0.128121
-,1239,1289,1249,973.44,-22.0624
+,1302,1303,1077.13,1101.46,2.25878
+,1306,1308,1117.1,1137.02,1.78319
+,1341,1343,1041,1044.41,0.32757
+,1346,1369,1071,1089.52,1.72923
+,1379,1383,1108.89,1127.95,1.71884
+,1385,1402,1147.42,1184,3.18802
+,1408,1431,1188.09,1215.09,2.27256
+,1465,1471,1202,1217.99,1.33028
+,1483,1508,1242.99,1246.97,0.320196
+,1510,1519,1248.99,1275.6,2.13052
+,1522,1528,1280.24,1303.99,1.85512
+,1545,1549,1305.01,1368,4.82678
+,1554,1565,1403.09,1449.4,3.30057
+,1567,1588,1494.85,1540.97,3.08526
+,1592,1594,1625.85,1672.94,2.89633
+,1606,1607,1728.99,1750.6,1.24986
+,1609,1651,1795.09,1828.19,1.84392
+,1653,1656,1840.95,1879.49,2.09348
+,1659,1660,1922.03,1963.33,2.14877
+,1664,1667,1992.09,2026.99,1.75193
+,1672,1673,2087.99,2139.19,2.45212
+,1675,1681,2197.6,2215.99,0.836822
