status,enter row,exit row,enter price,exit price,percentage
+,30,117,578.21,603,4.28737
+,44,117,591.16,603,2.00284
+,85,117,577.02,603,4.50244
+,90,117,579.84,603,3.99421
+,117,121,603,608.61,0.930348
+,121,146,608.61,624.5,2.61087
+,144,342,619.87,633,2.11819
+,145,410,622.52,647.82,4.06413
+,236,342,604.03,633,4.79612
+,252,342,607.2,633,4.24901
+,280,342,607.21,633,4.2473
+,283,342,609,633,3.94089
+,284,342,609.9,633,3.78751
+,285,342,610,633,3.77049
+,318,342,612.59,633,3.33176
+,325,344,616.73,637.8,3.41641
+,342,344,633,637.8,0.758294
+,343,425,634.12,653,2.97735
+,344,427,637.8,656.78,2.97585
+,361,427,637.99,656.78,2.94519
+,404,412,633.86,651.2,2.73562
+,408,426,634.45,653.54,3.00891
+,409,427,638.98,656.78,2.78569
+,410,428,647.82,659.5,1.80297
+,428,437,659.5,684.71,3.82259
+,432,437,663.7,684.71,3.16559
+,433,437,666.03,684.71,2.80468
+,434,449,669.12,690.51,3.19674
+,435,450,675.42,692,2.45477
+,437,451,684.71,698.79,2.05635
+,449,453,690.51,711.57,3.04992
+,451,470,698.79,720.57,3.11682
+,452,470,706,720.57,2.06374
+,453,560,711.57,732.96,3.00603
+,468,478,709.95,727.48,2.46919
+,469,561,715.21,736.07,2.91663
+,470,568,720.57,738.55,2.49525
+,478,650,727.48,758.35,4.24342
+,512,558,703.52,725.02,3.05606
+,515,559,709.29,729.55,2.85638
+,516,560,714.45,732.96,2.5908
+,549,558,703.4,725.02,3.07364
+,552,560,709.79,732.96,3.26435
+,557,560,719,732.96,1.94159
+,559,650,729.55,758.35,3.94764
+,560,650,732.96,758.35,3.46404
+,561,650,736.07,758.35,3.02689
+,568,651,738.55,762.5,3.24284
+,569,651,740.12,762.5,3.02383
+,574,654,741.22,768.6,3.69391
+,594,651,741.4,762.5,2.84597
+,647,651,741.99,762.5,2.76419
+,650,654,758.35,768.6,1.35162
+,651,763,762.5,788.2,3.37049
+,654,765,768.6,794.21,3.33203
+,713,765,772.1,794.21,2.86362
+,731,766,772.97,803.51,3.95099
+,732,766,773.04,803.51,3.94158
+,740,766,777.19,803.51,3.38656
+,763,767,788.2,812,3.01954
+,765,769,794.21,821.26,3.4059
+,766,769,803.51,821.26,2.20906
+,767,771,812,853.3,5.08621
+,770,771,827.14,853.3,3.16271
+,771,775,853.3,866.36,1.53053
+,775,778,866.36,885.24,2.17923
+,776,802,878.99,907.76,3.27307
+,781,805,894.5,918.16,2.64505
+,797,802,884.52,907.76,2.62741
+,802,807,907.76,928.17,2.24839
+,805,833,918.16,958,4.33911
+,807,833,928.17,958,3.21385
+,808,833,932.9,958,2.69053
+,833,836,958,974,1.67015
+,834,839,964.99,990.21,2.6135
+,836,847,974,996.99,2.36037
+,837,849,985.98,1024.78,3.93517
+,838,849,988.59,1024.78,3.66077
+,848,850,1004.63,1032.03,2.72737
+,849,851,1024.78,1068.8,4.29556
+,850,851,1032.03,1068.8,3.56288
+,851,852,1068.8,1070.62,0.170284
-,889,892,883,759.04,-14.0385
+,925,926,846.35,867.02,2.44225
+,926,928,867.02,883.61,1.91345
+,928,950,883.61,910.01,2.98774
+,949,954,905.51,915.8,1.13638
+,950,1011,910.01,940,3.29557
+,982,1011,907.14,940,3.62237
+,984,1011,908,940,3.52423
+,1010,1014,919.3,956.35,4.03024
+,1011,1014,940,956.35,1.73936
+,1014,1023,956.35,984,2.8912
+,1020,1030,974.33,999.07,2.53918
+,1023,1036,984,1009.71,2.6128
+,1025,1052,991.9,1025,3.33703
+,1026,1052,995.1,1025,3.00472
+,1027,1052,995.26,1025,2.98816
+,1030,1053,999.07,1035.3,3.62637
+,1036,1053,1009.71,1035.3,2.53439
+,1051,1057,1013.96,1045.3,3.09085
+,1052,1063,1025,1047.42,2.18732
+,1053,1136,1035.3,1065.81,2.94697
+,1057,1137,1045.3,1090.01,4.27724
+,1094,1108,995,1025,3.01508
+,1105,1113,1008.03,1030.4,2.21918
+,1108,1133,1025,1042.07,1.66537
+,1132,1137,1039.73,1090.01,4.83587
+,1133,1137,1042.07,1090.01,4.60046
+,1134,1137,1056.88,1090.01,3.1347
+,1136,1144,1065.81,1093,2.55111
+,1137,1148,1090.01,1109.9,1.82475
+,1148,1152,1109.9,1145.46,3.20389
+,1149,1153,1126.6,1178.08,4.5695
+,1152,1153,1145.46,1178.08,2.84776
+,1153,1176,1178.08,1184.5,0.544955
+,1170,1185,1153,1194.9,3.634
+,1171,1185,1155.15,1194.9,3.44111
+,1172,1188,1162.93,1199.8,3.17044
+,1175,1190,1176.12,1216.59,3.44098
+,1185,1192,1194.9,1256.62,5.16529
+,1190,1192,1216.59,1256.62,3.29034
+,1191,1192,1220,1256.62,3.00164
+,1192,1200,1256.62,1261.96,0.424949
-,1239,1289,1249,973.44,-22.0624
+,1252,1257,1210,1225.31,1.26529
+,1302,1306,1077.13,1117.1,3.71079
+,1303,1306,1101.46,1117.1,1.41993
-,1306,1327,1117.1,909.55,-18.5794
-,1307,1327,1128.1,909.55,-19.3733
+,1341,1345,1041,1052.01,1.05764
+,1343,1367,1044.41,1078.01,3.21713
+,1346,1379,1071,1108.89,3.53782
+,1365,1369,1066.01,1089.52,2.20542
+,1369,1383,1089.52,1127.95,3.52724
+,1379,1385,1108.89,1147.42,3.47465
+,1380,1385,1116.55,1147.42,2.76477
+,1383,1402,1127.95,1184,4.96919
+,1385,1402,1147.42,1184,3.18802
+,1399,1402,1146.4,1184,3.27983
+,1400,1402,1150.34,1184,2.92609
+,1402,1419,1184,1195.92,1.00676
+,1408,1483,1188.09,1242.99,4.62086
+,1419,1483,1195.92,1242.99,3.93588
+,1430,1483,1201.35,1242.99,3.4661
+,1431,1483,1215.09,1242.99,2.29613
+,1465,1483,1202,1242.99,3.41015
+,1469,1513,1216.99,1256.99,3.2868
+,1483,1514,1242.99,1258.99,1.28722
+,1508,1522,1246.97,1280.24,2.66807
+,1510,1525,1248.99,1299.21,4.02085
+,1519,1528,1275.6,1303.99,2.22562
+,1522,1549,1280.24,1368,6.85496
+,1523,1549,1283,1368,6.6251
+,1524,1549,1285.38,1368,6.42767
+,1525,1549,1299.21,1368,5.29476
+,1545,1549,1305.01,1368,4.82678
+,1549,1550,1368,1370.84,0.207602
+,1550,1565,1370.84,1449.4,5.73079
+,1554,1565,1403.09,1449.4,3.30057
+,1565,1566,1449.4,1482.04,2.25197
+,1566,1567,1482.04,1494.85,0.864349
+,1567,1588,1494.85,1540.97,3.08526
+,1587,1588,1508.23,1540.97,2.17076
+,1588,1589,1540.97,1595.17,3.51727
+,1589,1592,1595.17,1625.85,1.92331
+,1592,1594,1625.85,1672.94,2.89633
+,1594,1595,1672.94,1690.9,1.07356
+,1595,1607,1690.9,1750.6,3.53066
+,1606,1608,1728.99,1768.39,2.27879
+,1607,1609,1750.6,1795.09,2.54141
+,1609,1655,1795.09,1860.99,3.67113
+,1642,1645,1725.01,1772.29,2.74085
+,1643,1651,1753.27,1828.19,4.27316
+,1651,1655,1828.19,1860.99,1.79412
+,1653,1659,1840.95,1922.03,4.40425
+,1655,1659,1860.99,1922.03,3.27997
+,1656,1660,1879.49,1963.33,4.46078
+,1659,1660,1922.03,1963.33,2.14877
+,1660,1664,1963.33,1992.09,1.46486
+,1664,1672,1992.09,2087.99,4.81404
+,1665,1672,2006.76,2087.99,4.04782
+,1667,1672,2026.99,2087.99,3.00939
+,1672,1673,2087.99,2139.19,2.45212
+,1673,1675,2139.19,2197.6,2.73047
+,1675,1683,2197.6,2251.09,2.43402
+,1683,1686,2251.09,2379.48,5.70346
+,1684,1686,2270.99,2379.48,4.77721
+,1685,1686,2307.02,2379.48,3.14085
+,1686,1688,2379.48,2430,2.12315
+,1688,1690,2430,2487.99,2.38642
+,1690,1691,2487.99,2572.99,3.41641
+,1691,1692,2572.99,2700.04,4.93783
-,1692,1702,2700.04,1986.89,-26.4126
+,1718,1720,2222.3,2274.24,2.33722
+,1720,1733,2274.24,2345.99,3.1549
+,1732,1733,2292.71,2345.99,2.32389
+,1733,1742,2345.99,2373.99,1.19353
+,1743,1747,2406.55,2476.64,2.91247
+,1747,1756,2476.64,2530.39,2.17028
+,1756,1760,2530.39,2592.99,2.47393
+,1757,1761,2543.99,2672.31,5.04404
+,1760,1761,2592.99,2672.31,3.05902
+,1761,1762,2672.31,2746.32,2.76951
+,1762,1764,2746.32,2792.79,1.69208
+,1764,1797,2792.79,2870.99,2.80007
-,1795,1815,2858.1,2467.29,-13.6738
-,1798,1815,2887.99,2467.29,-14.5672
+,1830,1849,2532.2,2600,2.67751
+,1848,1850,2573.89,2716.18,5.52821
+,1849,1850,2600,2716.18,4.46846
+,1850,1852,2716.18,2727.48,0.416025
-,1898,1996,2519.59,2106.53,-16.3939
+,1926,1927,2474.01,2513.21,1.58447
-,1927,1996,2513.21,2106.53,-16.1817
+,2012,2013,2151.8,2186.8,1.62655
+,2013,2016,2186.8,2286.8,4.57289
+,2015,2016,2231.8,2286.8,2.46438
+,2016,2018,2286.8,2339.59,2.30847
+,2028,2029,2511.8,2612.3,4.00111
+,2029,2030,2612.3,2720.8,4.15343
+,2030,2031,2720.8,2749.85,1.0677
+,2031,2040,2749.85,2816.81,2.43504
+,2073,2075,2704.8,2766.8,2.29222
+,2075,2096,2766.8,2889.76,4.44412
+,2076,2096,2797.11,2889.76,3.31235
+,2094,2096,2801.7,2889.76,3.14309
+,2096,2098,2889.76,2911.8,0.762693
+,2098,2122,2911.8,3136.9,7.73061
+,2113,2118,2760.4,2838.69,2.83618
+,2114,2119,2778.69,2849.8,2.55912
+,2117,2122,2829.8,3136.9,10.8524
+,2122,2123,3136.9,3159.31,0.7144
+,2125,2138,3286.9,3400.46,3.45493
+,2138,2139,3400.46,3409,0.251142
+,2145,2165,3459.79,3541.8,2.37038
+,2146,2167,3479.9,3589.79,3.15785
+,2164,2167,3504.48,3589.79,2.43431
+,2165,2168,3541.8,3654.86,3.19216
+,2166,2168,3542.22,3654.86,3.17993
+,2167,2169,3589.79,3731.8,3.95594
+,2168,2169,3654.86,3731.8,2.10514
+,2169,2172,3731.8,3936.79,5.49306
+,2170,2172,3771.8,3936.79,4.3743
+,2172,2175,3936.79,4062.61,3.196
+,2175,2176,4062.61,4190.79,3.15511
+,2176,2188,4190.79,4275.8,2.0285
+,2188,2193,4275.8,4390.8,2.68956
-,2192,2223,4353.7,3636.21,-16.48
+,2207,2256,4416.15,4534.7,2.68446
+,2231,2240,4184.78,4345.93,3.85086
+,2240,2244,4345.93,4436.94,2.09414
+,2244,2256,4436.94,4534.7,2.20332
+,2256,2257,4534.7,4580.91,1.01903
