status,enter row,exit row,enter price,exit price,percentage
+,8,144,574.98,619.87,7.80723
+,9,342,576.22,633,9.85388
+,30,342,578.21,633,9.4758
+,43,342,580.8,633,8.9876
+,44,343,591.16,634.12,7.26707
+,66,342,580.2,633,9.10031
+,82,342,575.13,633,10.0621
+,85,342,577.02,633,9.70157
+,90,342,579.84,633,9.16805
+,111,342,576.97,633,9.71108
+,117,342,603,633,4.97512
+,121,432,608.61,663.7,9.05177
+,144,433,619.87,666.03,7.44672
+,145,437,622.52,684.71,9.99004
+,175,433,611,666.03,9.00655
+,235,427,601.39,656.78,9.21033
+,236,427,604.03,656.78,8.73301
+,252,432,607.2,663.7,9.30501
+,280,428,607.21,659.5,8.61152
+,283,432,609,663.7,8.98194
+,284,433,609.9,666.03,9.20315
+,285,433,610,666.03,9.18525
+,318,434,612.59,669.12,9.22803
+,325,435,616.73,675.42,9.51632
+,342,435,633,675.42,6.70142
+,343,450,634.12,692,9.12761
+,344,451,637.8,698.79,9.56256
+,361,451,637.99,698.79,9.52993
+,404,449,633.86,690.51,8.9373
+,408,450,634.45,692,9.07085
+,409,451,638.98,698.79,9.36023
+,410,451,647.82,698.79,7.86793
+,428,470,659.5,720.57,9.26005
+,432,478,663.7,727.48,9.60976
+,433,478,666.03,727.48,9.22631
+,434,559,669.12,729.55,9.03126
+,435,560,675.42,732.96,8.51914
+,437,569,684.71,740.12,8.09248
+,449,650,690.51,758.35,9.82462
+,451,650,698.79,758.35,8.5233
+,452,651,706,762.5,8.00283
+,453,731,711.57,772.97,8.62881
+,467,651,700.71,762.5,8.8182
+,468,654,709.95,768.6,8.26115
+,469,740,715.21,777.19,8.66599
+,470,748,720.57,779.9,8.23376
+,478,763,727.48,788.2,8.34662
+,497,654,703.77,768.6,9.21182
+,512,652,703.52,763,8.45463
+,515,713,709.29,772.1,8.85533
+,516,739,714.45,773.74,8.29869
+,527,740,712.4,777.19,9.09461
+,549,654,703.4,768.6,9.26926
+,552,732,709.79,773.04,8.91109
+,557,740,719,777.19,8.09318
+,559,765,729.55,794.21,8.863
+,560,766,732.96,803.51,9.62535
+,561,766,736.07,803.51,9.16217
+,568,766,738.55,803.51,8.79561
+,569,767,740.12,812,9.71194
+,574,767,741.22,812,9.54912
+,587,766,735,803.51,9.32109
+,588,766,737.1,803.51,9.00963
+,594,767,741.4,812,9.52252
+,640,766,735.25,803.51,9.28392
+,647,767,741.99,812,9.43544
+,650,767,758.35,812,7.07457
+,651,771,762.5,853.3,11.9082
+,654,771,768.6,853.3,11.02
+,665,771,765.27,853.3,11.5031
+,712,771,769.5,853.3,10.8902
+,713,771,772.1,853.3,10.5168
+,731,771,772.97,853.3,10.3924
+,732,771,773.04,853.3,10.3824
+,740,771,777.19,853.3,9.79297
+,763,775,788.2,866.36,9.91626
+,765,775,794.21,866.36,9.0845
+,766,776,803.51,878.99,9.39378
+,767,776,812,878.99,8.25
+,770,802,827.14,907.76,9.74684
+,771,802,853.3,907.76,6.38228
+,775,810,866.36,934.44,7.85817
+,776,833,878.99,958,8.98873
+,781,836,894.5,974,8.88765
+,793,833,875.38,958,9.43819
+,797,834,884.52,964.99,9.09759
+,802,836,907.76,974,7.29708
+,805,848,918.16,1004.63,9.41775
+,807,848,928.17,1004.63,8.23772
+,808,849,932.9,1024.78,9.84886
+,832,849,936.25,1024.78,9.45581
+,833,849,958,1024.78,6.97077
+,834,851,964.99,1068.8,10.7576
+,836,851,974,1068.8,9.73306
+,837,851,985.98,1068.8,8.39976
+,838,853,988.59,1087.74,10.0294
