status,enter row,exit row,enter price,exit price,percentage
+,30,343,578.21,634.12,9.6695
+,44,410,591.16,647.82,9.58455
+,85,344,577.02,637.8,10.5334
+,90,344,579.84,637.8,9.99586
+,117,344,603,637.8,5.77114
+,121,433,608.61,666.03,9.43461
+,144,435,619.87,675.42,8.96156
+,145,437,622.52,684.71,9.99004
+,236,432,604.03,663.7,9.87865
+,252,433,607.2,666.03,9.68874
+,280,434,607.21,669.12,10.1958
+,283,434,609,669.12,9.87192
+,284,435,609.9,675.42,10.7427
+,285,435,610,675.42,10.7246
+,318,435,612.59,675.42,10.2565
+,325,437,616.73,684.71,11.0227
+,342,437,633,684.71,8.16904
+,343,451,634.12,698.79,10.1984
+,344,452,637.8,706,10.693
+,361,452,637.99,706,10.66
+,404,451,633.86,698.79,10.2436
+,408,451,634.45,698.79,10.1411
+,409,452,638.98,706,10.4886
+,410,452,647.82,706,8.98089
+,428,478,659.5,727.48,10.3078
+,432,559,663.7,729.55,9.92165
+,433,560,666.03,732.96,10.0491
+,434,561,669.12,736.07,10.0057
+,435,568,675.42,738.55,9.34678
+,437,650,684.71,758.35,10.7549
+,449,650,690.51,758.35,9.82462
+,451,654,698.79,768.6,9.99013
+,452,712,706,769.5,8.99433
+,453,749,711.57,780,9.61676
+,468,740,709.95,777.19,9.47109
+,469,763,715.21,788.2,10.2054
+,470,763,720.57,788.2,9.38563
+,478,766,727.48,803.51,10.4511
+,512,737,703.52,773.36,9.92722
+,515,741,709.29,778.11,9.70266
+,516,755,714.45,781.5,9.38484
+,549,739,703.4,773.74,10
+,552,755,709.79,781.5,10.103
+,557,755,719,781.5,8.69263
+,559,766,729.55,803.51,10.1378
+,560,767,732.96,812,10.7837
+,561,767,736.07,812,10.3156
+,568,767,738.55,812,9.94516
+,569,768,740.12,812.97,9.843
+,574,769,741.22,821.26,10.7984
+,594,769,741.4,821.26,10.7715
+,647,768,741.99,812.97,9.56617
+,650,769,758.35,821.26,8.29564
+,651,771,762.5,853.3,11.9082
+,654,771,768.6,853.3,11.02
+,713,771,772.1,853.3,10.5168
+,731,771,772.97,853.3,10.3924
+,732,771,773.04,853.3,10.3824
+,740,771,777.19,853.3,9.79297
+,763,775,788.2,866.36,9.91626
+,765,776,794.21,878.99,10.6748
+,766,776,803.51,878.99,9.39378
+,767,781,812,894.5,10.1601
+,770,805,827.14,918.16,11.0042
+,771,805,853.3,918.16,7.60108
+,775,833,866.36,958,10.5776
+,776,834,878.99,964.99,9.78396
+,781,837,894.5,985.98,10.2269
+,797,836,884.52,974,10.1162
+,802,837,907.76,985.98,8.61682
+,805,849,918.16,1024.78,11.6124
+,807,849,928.17,1024.78,10.4087
+,808,849,932.9,1024.78,9.84886
+,833,851,958,1068.8,11.5658
+,834,851,964.99,1068.8,10.7576
+,836,851,974,1068.8,9.73306
+,837,853,985.98,1087.74,10.3207
+,838,853,988.59,1087.74,10.0294
-,848,861,1004.63,852,-15.1927
-,849,861,1024.78,852,-16.8602
-,850,861,1032.03,852,-17.4443
-,851,861,1068.8,852,-20.2844
-,889,892,883,759.04,-14.0385
+,925,949,846.35,905.51,6.99002
+,926,1011,867.02,940,8.41734
+,928,1020,883.61,974.33,10.267
+,949,1023,905.51,984,8.66804
+,950,1036,910.01,1009.71,10.9559
+,982,1026,907.14,995.1,9.69641
+,984,1030,908,999.07,10.0297
+,1010,1036,919.3,1009.71,9.83466
+,1011,1051,940,1013.96,7.86809
+,1014,1057,956.35,1045.3,9.30099
+,1020,1136,974.33,1065.81,9.38902
+,1023,1137,984,1090.01,10.7734
+,1025,1137,991.9,1090.01,9.89112
+,1026,1144,995.1,1093,9.83821
+,1027,1148,995.26,1109.9,11.5186
+,1030,1148,999.07,1109.9,11.0933
