status,enter row,exit row,enter price,exit price,percentage
+,8,117,574.98,603,4.87321
+,121,344,608.61,637.8,4.79617
+,361,435,637.99,675.42,5.86686
+,437,469,684.71,715.21,4.45444
-,478,483,727.48,691.6,-4.93209
+,497,561,703.77,736.07,4.58957
+,568,713,738.55,772.1,4.54268
+,731,767,772.97,812,5.04936
+,770,776,827.14,878.99,6.26859
-,781,789,894.5,830,-7.21073
+,793,805,875.38,918.16,4.88702
+,807,836,928.17,974,4.93767
+,838,851,988.59,1068.8,8.11358
-,871,892,891,759.04,-14.8103
+,898,925,800.01,846.35,5.79243
+,928,1011,883.61,940,6.38177
+,1014,1026,956.35,995.1,4.05186
-,1030,1066,999.07,948,-5.11175
+,1073,1108,991,1025,3.43088
+,1132,1144,1039.73,1093,5.12345
+,1148,1153,1109.9,1178.08,6.1429
+,1170,1190,1153,1216.59,5.51518
-,1192,1229,1256.62,1141.61,-9.15233
-,1236,1284,1193.51,1101.14,-7.73936
+,1294,1303,1057.43,1101.46,4.16387
-,1306,1321,1117.1,1026,-8.15504
+,1334,1341,991.1,1041,5.03481
+,1343,1379,1044.41,1108.89,6.17382
+,1383,1402,1127.95,1184,4.96919
+,1408,1508,1188.09,1246.97,4.95585
+,1510,1546,1248.99,1310.99,4.96401
+,1549,1552,1368,1382.07,1.02851
+,1554,1566,1403.09,1482.04,5.62687
+,1587,1589,1508.23,1595.17,5.76437
+,1592,1595,1625.85,1690.9,4.00098
+,1606,1609,1728.99,1795.09,3.82304
+,1623,1651,1731.36,1828.19,5.59271
+,1653,1660,1840.95,1963.33,6.64765
+,1664,1672,1992.09,2087.99,4.81404
+,1675,1685,2197.6,2307.02,4.97907
+,1688,1691,2430,2572.99,5.88436
+,1708,1717,2080.1,2185.57,5.07043
+,1720,1742,2274.24,2373.99,4.38608
+,1747,1760,2476.64,2592.99,4.6979
+,1762,1788,2746.32,2828.69,2.99929
-,1795,1801,2858.1,2585.99,-9.52066
+,1830,1850,2532.2,2716.18,7.26562
-,1861,1874,2670.7,2566.98,-3.88363
-,1898,1916,2519.59,2354.83,-6.53916
+,1922,1931,2402.54,2532.72,5.41843
-,1943,1950,2541.99,2446.87,-3.74195
-,1958,1969,2506.91,2397.23,-4.37511
-,1981,1993,2391.3,2187,-8.54347
+,2009,2012,2041.8,2151.8,5.3874
+,2015,2018,2231.8,2339.59,4.82973
+,2028,2029,2511.8,2612.3,4.00111
+,2031,2096,2749.85,2889.76,5.08791
-,2098,2103,2911.8,2684.5,-7.80617
+,2112,2121,2727.45,2868.18,5.15976
+,2125,2138,3286.9,3400.46,3.45493
+,2145,2167,3459.79,3589.79,3.75745
+,2169,2172,3731.8,3936.79,5.49306
+,2175,2176,4062.61,4190.79,3.15511
+,2186,2193,4190.5,4390.8,4.77986
-,2202,2222,4291.25,3860.53,-10.0372
+,2227,2236,4059.4,4237.47,4.38661
+,2240,2256,4345.93,4534.7,4.3436
+,2267,2275,4680.4,4867.96,4.00735
+,2287,2297,4405.15,4628.02,5.05931
-,2302,2304,4665.7,4325.58,-7.2898
+,2334,2335,3570.83,3714.41,4.02091
+,2338,2339,3953.72,4027.06,1.85496
+,2367,2381,3774.74,4055.34,7.43362
+,2383,2396,4139.58,4372.33,5.62255
+,2414,2423,4302.48,4568.98,6.1941
+,2427,2434,4624.49,4851.39,4.90649
+,2443,2444,5097.49,5189.11,1.79736
+,2447,2448,5392.38,5706.13,5.8184
+,2471,2481,5534.42,5967.8,7.83063
