status,enter row,exit row,enter price,exit price,percentage
-,8971,9061,49140.5,43557.7,-11.3609
-,9089,9128,43947.5,39734.2,-9.58718
+,9147,9193,37587.4,40618.7,8.06476
-,9207,9285,42823.3,39357.7,-8.09261
+,9336,9338,41405.1,43269.1,4.50176
+,9341,9505,44423.9,47949.3,7.93587
-,9583,9588,43061.4,40742.7,-5.38468
-,9600,9704,41012.5,37620.8,-8.27011
-,9711,9736,38959.4,36179.4,-7.13555
-,9793,9957,30994.5,27379,-11.6652
+,10091,10111,19682.5,21590.7,9.69469
