status,enter row,exit row,enter price,exit price,percentage
+,8,146,574.98,624.5,8.61247
+,9,343,576.22,634.12,10.0482
+,30,342,578.21,633,9.4758
+,43,375,580.8,638.27,9.89497
+,44,410,591.16,647.82,9.58455
+,66,344,580.2,637.8,9.92761
+,82,342,575.13,633,10.0621
+,85,344,577.02,637.8,10.5334
+,90,344,579.84,637.8,9.99586
+,111,343,576.97,634.12,9.90519
+,117,344,603,637.8,5.77114
+,121,433,608.61,666.03,9.43461
+,144,435,619.87,675.42,8.96156
+,145,437,622.52,684.71,9.99004
+,175,435,611,675.42,10.5434
+,235,432,601.39,663.7,10.361
+,236,432,604.03,663.7,9.87865
+,252,433,607.2,666.03,9.68874
+,280,433,607.21,666.03,9.68693
+,283,434,609,669.12,9.87192
+,284,435,609.9,675.42,10.7427
+,285,435,610,675.42,10.7246
+,318,435,612.59,675.42,10.2565
+,325,437,616.73,684.71,11.0227
+,342,437,633,684.71,8.16904
+,343,451,634.12,698.79,10.1984
+,344,452,637.8,706,10.693
+,361,452,637.99,706,10.66
+,404,451,633.86,698.79,10.2436
+,408,451,634.45,698.79,10.1411
+,409,452,638.98,706,10.4886
+,410,452,647.82,706,8.98089
+,428,478,659.5,727.48,10.3078
+,432,559,663.7,729.55,9.92165
+,433,560,666.03,732.96,10.0491
+,434,561,669.12,736.07,10.0057
+,435,568,675.42,738.55,9.34678
+,437,650,684.71,758.35,10.7549
+,449,650,690.51,758.35,9.82462
+,451,654,698.79,768.6,9.99013
+,452,712,706,769.5,8.99433
+,453,749,711.57,780,9.61676
+,467,712,700.71,769.5,9.81719
+,468,740,709.95,777.19,9.47109
+,469,763,715.21,788.2,10.2054
+,470,763,720.57,788.2,9.38563
+,478,765,727.48,794.21,9.17276
+,497,713,703.77,772.1,9.70914
+,512,713,703.52,772.1,9.74812
+,515,741,709.29,778.11,9.70266
+,516,755,714.45,781.5,9.38484
+,527,763,712.4,788.2,10.6401
+,549,731,703.4,772.97,9.89053
+,552,755,709.79,781.5,10.103
+,557,755,719,781.5,8.69263
