status,enter row,exit row,enter price,exit price,percentage
+,8,117,574.98,603,4.87321
+,9,121,576.22,608.61,5.62112
+,30,121,578.21,608.61,5.25761
+,43,122,580.8,609.03,4.86054
+,44,144,591.16,619.87,4.85655
+,66,121,580.2,608.61,4.89659
+,82,121,575.13,608.61,5.82129
+,85,121,577.02,608.61,5.47468
+,90,121,579.84,608.61,4.96171
+,111,121,576.97,608.61,5.48382
+,117,121,603,608.61,0.930348
+,121,344,608.61,637.8,4.79617
+,144,410,619.87,647.82,4.50901
-,145,232,622.52,592.93,-4.75326
+,175,410,611,647.82,6.02619
+,235,342,601.39,633,5.25616
+,236,342,604.03,633,4.79612
+,252,344,607.2,637.8,5.03953
+,280,344,607.21,637.8,5.0378
+,283,409,609,638.98,4.92282
+,284,410,609.9,647.82,6.21741
+,285,410,610,647.82,6.2
+,318,410,612.59,647.82,5.75099
+,325,410,616.73,647.82,5.0411
+,342,412,633,651.2,2.8752
+,343,433,634.12,666.03,5.03217
+,344,434,637.8,669.12,4.91063
+,361,435,637.99,675.42,5.86686
+,404,432,633.86,663.7,4.70766
+,408,433,634.45,666.03,4.97754
+,409,434,638.98,669.12,4.71689
+,410,435,647.82,675.42,4.26044
+,428,449,659.5,690.51,4.70205
+,432,451,663.7,698.79,5.28703
+,433,451,666.03,698.79,4.9187
+,434,452,669.12,706,5.51172
+,435,452,675.42,706,4.52755
+,437,469,684.71,715.21,4.45444
+,449,470,690.51,720.57,4.3533
+,451,560,698.79,732.96,4.88988
+,452,561,706,736.07,4.25921
+,453,650,711.57,758.35,6.5742
+,467,561,700.71,736.07,5.04631
+,468,569,709.95,740.12,4.2496
+,469,650,715.21,758.35,6.03179
+,470,650,720.57,758.35,5.24307
-,478,483,727.48,691.6,-4.93209
+,497,561,703.77,736.07,4.58957
+,512,561,703.52,736.07,4.62673
+,515,596,709.29,742.38,4.66523
+,516,650,714.45,758.35,6.14459
-,527,539,712.4,685.94,-3.71421
+,549,568,703.4,738.55,4.99716
+,552,650,709.79,758.35,6.84146
+,557,650,719,758.35,5.47288
+,559,654,729.55,768.6,5.35261
+,560,712,732.96,769.5,4.98527
+,561,713,736.07,772.1,4.89491
+,568,713,738.55,772.1,4.54268
+,569,740,740.12,777.19,5.00865
+,574,741,741.22,778.11,4.97693
+,587,713,735,772.1,5.04762
+,588,713,737.1,772.1,4.74834
+,594,740,741.4,777.19,4.82735
+,640,713,735.25,772.1,5.0119
+,647,740,741.99,777.19,4.744
+,650,761,758.35,782.27,3.15422
+,651,766,762.5,803.51,5.37836
+,654,767,768.6,812,5.64663
+,665,766,765.27,803.51,4.99693
+,712,766,769.5,803.51,4.41975
+,713,767,772.1,812,5.16772
+,731,767,772.97,812,5.04936
+,732,767,773.04,812,5.03984
+,740,769,777.19,821.26,5.67043
+,763,770,788.2,827.14,4.94037
+,765,771,794.21,853.3,7.4401
+,766,771,803.51,853.3,6.19656
+,767,771,812,853.3,5.08621
+,770,776,827.14,878.99,6.26859
+,771,776,853.3,878.99,3.01066
+,775,802,866.36,907.76,4.77861
+,776,805,878.99,918.16,4.45625
-,781,789,894.5,830,-7.21073
+,793,805,875.38,918.16,4.88702
+,797,807,884.52,928.17,4.93488
+,802,811,907.76,941.21,3.68489
+,805,834,918.16,964.99,5.10042
+,807,836,928.17,974,4.93767
+,808,837,932.9,985.98,5.68978
+,832,837,936.25,985.98,5.31162
+,833,838,958,988.59,3.19311
+,834,849,964.99,1024.78,6.19592
+,836,849,974,1024.78,5.21355
+,837,850,985.98,1032.03,4.67048
+,838,851,988.59,1068.8,8.11358
+,847,851,996.99,1068.8,7.20268
+,848,851,1004.63,1068.8,6.38743
+,849,851,1024.78,1068.8,4.29556
+,850,853,1032.03,1087.74,5.3981
+,851,853,1068.8,1087.74,1.77208
-,871,892,891,759.04,-14.8103
-,882,891,872.59,815,-6.59989
-,889,891,883,815,-7.70102
+,898,925,800.01,846.35,5.79243
+,899,926,811.81,867.02,6.80085
+,925,926,846.35,867.02,2.44225
+,926,949,867.02,905.51,4.43934
+,928,1011,883.61,940,6.38177
+,940,1011,883.24,940,6.42634
+,941,1011,886.9,940,5.98715
+,949,1011,905.51,940,3.8089
+,950,1014,910.01,956.35,5.09225
+,981,1011,895.56,940,4.96226
+,982,1014,907.14,956.35,5.42474
+,984,1014,908,956.35,5.32489
+,1010,1018,919.3,962,4.64484
+,1011,1020,940,974.33,3.65213
+,1014,1026,956.35,995.1,4.05186
+,1020,1052,974.33,1025,5.2005
+,1023,1052,984,1025,4.16667
+,1025,1057,991.9,1045.3,5.38361
+,1026,1057,995.1,1045.3,5.04472
+,1027,1057,995.26,1045.3,5.02783
-,1030,1066,999.07,948,-5.11175
-,1036,1066,1009.71,948,-6.11166
-,1046,1065,1001,965.99,-3.4975
-,1051,1065,1013.96,965.99,-4.73096
-,1052,1065,1025,965.99,-5.75707
-,1053,1065,1035.3,965.99,-6.69468
-,1057,1065,1045.3,965.99,-7.5873
+,1073,1108,991,1025,3.43088
+,1094,1134,995,1056.88,6.2191
+,1105,1134,1008.03,1056.88,4.84609
+,1108,1136,1025,1065.81,3.98146
+,1132,1144,1039.73,1093,5.12345
+,1133,1144,1042.07,1093,4.88739
+,1134,1148,1056.88,1109.9,5.01665
+,1136,1149,1065.81,1126.6,5.70364
+,1137,1149,1090.01,1126.6,3.35685
+,1144,1153,1093,1178.08,7.78408
+,1148,1153,1109.9,1178.08,6.1429
+,1149,1153,1126.6,1178.08,4.5695
+,1152,1185,1145.46,1194.9,4.31617
+,1153,1190,1178.08,1216.59,3.26888
+,1170,1190,1153,1216.59,5.51518
+,1171,1190,1155.15,1216.59,5.31879
+,1172,1192,1162.93,1256.62,8.05637
+,1175,1192,1176.12,1256.62,6.84454
+,1185,1192,1194.9,1256.62,5.16529
-,1190,1229,1216.59,1141.61,-6.16313
-,1191,1229,1220,1141.61,-6.42541
-,1192,1229,1256.62,1141.61,-9.15233
-,1236,1284,1193.51,1101.14,-7.73936
-,1239,1241,1249,1120,-10.3283
-,1252,1283,1210,1122,-7.27273
-,1264,1277,1236.8,1167,-5.6436
+,1294,1303,1057.43,1101.46,4.16387
+,1302,1307,1077.13,1128.1,4.73202
+,1303,1308,1101.46,1137.02,3.22844
-,1306,1321,1117.1,1026,-8.15504
-,1307,1321,1128.1,1026,-9.05062
+,1334,1341,991.1,1041,5.03481
+,1335,1345,1005.65,1052.01,4.60995
+,1341,1346,1041,1071,2.88184
+,1343,1379,1044.41,1108.89,6.17382
+,1346,1380,1071,1116.55,4.25303
+,1363,1379,1048.01,1108.89,5.8091
+,1365,1379,1066.01,1108.89,4.02248
+,1369,1385,1089.52,1147.42,5.31427
+,1377,1385,1090,1147.42,5.26789
+,1379,1402,1108.89,1184,6.77344
+,1380,1402,1116.55,1184,6.04093
+,1383,1402,1127.95,1184,4.96919
+,1385,1419,1147.42,1195.92,4.22687
+,1398,1408,1143.66,1188.09,3.8849
+,1399,1431,1146.4,1215.09,5.9918
+,1400,1431,1150.34,1215.09,5.62877
+,1402,1469,1184,1216.99,2.78632
+,1408,1508,1188.09,1246.97,4.95585
+,1419,1508,1195.92,1246.97,4.26868
+,1430,1514,1201.35,1258.99,4.79794
+,1431,1519,1215.09,1275.6,4.97988
+,1464,1510,1190.09,1248.99,4.94921
+,1465,1513,1202,1256.99,4.57488
+,1469,1519,1216.99,1275.6,4.81598
+,1483,1524,1242.99,1285.38,3.41033
+,1501,1525,1239.49,1299.21,4.81811
+,1508,1545,1246.97,1305.01,4.65448
+,1510,1546,1248.99,1310.99,4.96401
+,1519,1549,1275.6,1368,7.24365
+,1522,1549,1280.24,1368,6.85496
+,1523,1549,1283,1368,6.6251
+,1524,1549,1285.38,1368,6.42767
+,1525,1549,1299.21,1368,5.29476
+,1545,1549,1305.01,1368,4.82678
+,1549,1552,1368,1382.07,1.02851
+,1550,1565,1370.84,1449.4,5.73079
+,1554,1566,1403.09,1482.04,5.62687
+,1565,1566,1449.4,1482.04,2.25197
+,1566,1588,1482.04,1540.97,3.97628
+,1567,1589,1494.85,1595.17,6.71104
+,1587,1589,1508.23,1595.17,5.76437
+,1588,1589,1540.97,1595.17,3.51727
+,1589,1592,1595.17,1625.85,1.92331
+,1592,1595,1625.85,1690.9,4.00098
+,1594,1606,1672.94,1728.99,3.35039
+,1595,1609,1690.9,1795.09,6.16181
+,1606,1609,1728.99,1795.09,3.82304
+,1607,1651,1750.6,1828.19,4.43219
-,1609,1618,1795.09,1617.14,-9.91315
+,1623,1651,1731.36,1828.19,5.59271
+,1625,1651,1740.09,1828.19,5.06296
+,1639,1650,1699.09,1777,4.5854
+,1642,1651,1725.01,1828.19,5.98141
+,1643,1651,1753.27,1828.19,4.27316
+,1651,1656,1828.19,1879.49,2.80605
+,1653,1660,1840.95,1963.33,6.64765
+,1655,1660,1860.99,1963.33,5.49922
+,1656,1664,1879.49,1992.09,5.99099
