index,date,time,open,high,low,close,volume
0,2022.04,11,38880.8,38923.5,38865.3,38866.8,455
1,2022.04,11,38866.8,38969.5,38866.8,38921.9,406
2,2022.04,11,38918.9,38920.6,38799,38821.6,442
3,2022.04,11,38820.8,38847.8,38664.8,38825.3,595
4,2022.04,11,38825.3,39026.2,38825.3,38971.7,473
5,2022.04,12,38971.7,39050.1,38959.7,39038.9,385
6,2022.04,12,39040.4,39077.8,38819.2,38834.3,690
7,2022.04,12,38843.5,38898.1,38805.6,38838.1,346
8,2022.04,12,38838.1,38908.6,38838.1,38875.6,393
9,2022.04,12,38873.6,39013,38866,38964.7,480
10,2022.04,12,38972.7,39034.3,38964.2,38996.3,401
11,2022.04,12,38992.9,39026.9,38917,38943.6,508
12,2022.04,12,38943.6,38995.5,38908.5,38989,358
13,2022.04,12,38979,39023,38972,38993.6,315
14,2022.04,12,38990.1,39058.9,38981.1,39022.2,402
15,2022.04,12,39022.2,39066.7,39022.2,39044.1,238
16,2022.04,12,39039.6,39108.5,39039.6,39049.4,319
17,2022.04,13,39049.4,39069.5,38991.6,39013.1,258
18,2022.04,13,39011.1,39037.1,38964.9,38968.8,269
19,2022.04,13,38968.8,38989.2,38954.6,38979.6,383
20,2022.04,13,38978.6,39026.3,38943.7,38999.6,460
21,2022.04,13,39000.1,39060.7,38989.1,39025.1,404
22,2022.04,13,39024.1,39069.6,39014.6,39067.5,314
23,2022.04,13,39068.9,39074.9,39004.3,39031.4,286
24,2022.04,13,39028.9,39140.1,39020.6,39088.4,331
25,2022.04,13,39086.5,39103.4,39057.4,39097.9,318
26,2022.04,13,39084.2,39134.9,38968.9,38987.9,834
27,2022.04,13,38988.7,39098.1,38984,39084,324
28,2022.04,13,39084,39117,39078.4,39090,145
29,2022.04,14,39090,39110.2,39071.5,39076.3,230
30,2022.04,14,39074.7,39076.2,38960.6,38961.4,602
31,2022.04,14,38960.4,38978,38891,38905.5,380
32,2022.04,14,38905.5,38926,38864.2,38873.6,479
33,2022.04,14,38873.3,38879.1,38706.6,38760,931
34,2022.04,14,38756,38786.8,38624.6,38763.3,1150
35,2022.04,14,38763.3,38941.2,38763.3,38897.2,785
36,2022.04,14,38897.2,38914.2,38843.2,38872.2,387
37,2022.04,14,38872.2,38942.5,38844.7,38871.4,409
38,2022.04,14,38870.9,38955.3,38870.9,38912.2,656
39,2022.04,14,38916.2,38943.2,38877.7,38889.2,261
40,2022.04,14,38880.7,39066.8,38871.2,39007.3,471
41,2022.04,15,39009.3,39105.4,38974.2,39086.4,579
42,2022.04,15,39082.9,39122.2,39014.2,39087.2,650
43,2022.04,15,39087.2,39091,39043.6,39064.2,513
44,2022.04,15,39062.5,39078.1,38925.8,38925.8,475
45,2022.04,15,38931.8,38968.3,38868.9,38949.5,402
46,2022.04,15,38949,39060.2,38939.5,39044.8,285
47,2022.04,15,39041.4,39080.2,38900.2,38973.7,641
48,2022.04,15,38974.7,38980.2,38864.6,38964.1,609
49,2022.04,15,38965.6,38982.6,38903.1,38930.6,649
50,2022.04,15,38930.6,38954.1,38870.1,38882.6,456
51,2022.04,15,38882.6,38912.4,38868.1,38898.6,394
52,2022.04,15,38898.6,38949.6,38857,38873.8,436
53,2022.04,16,38877.8,38971.9,38876.2,38925.1,653
54,2022.04,16,38925.6,38958.1,38801.3,38829.5,664
55,2022.04,16,38829.5,38862,38751.6,38762.1,478
56,2022.04,16,38767.1,38852.1,38767.1,38825.3,464
57,2022.04,16,38825.3,38922.1,38825.3,38878.6,530
58,2022.04,16,38878.6,38990.4,38878.6,38961.2,662
59,2022.04,16,38958.6,39364.3,38950.7,39161.6,1583
60,2022.04,16,39161.8,39287.3,39041.8,39125.9,1197
61,2022.04,16,39127.9,39278.1,39114.5,39226.7,849
62,2022.04,16,39231.7,39379.5,39210.6,39337.5,889
63,2022.04,16,39337.5,39458.7,39312.8,39359.4,953
64,2022.04,16,39359.4,39360.9,39276.1,39330.8,965
